timestamp,vehicleId,vehicleType,model,year,speed,rpm,engineTemperature,batteryVoltage,fuelLevel,faultCode,oilPressure,coolantLevel,transmissionTemperature,throttlePosition,mafReading,oxygenSensorVoltage,mileage,engineCondition,batteryCondition,fuelCondition,overallSummary,healthScore
timestamp,vehicleId,vehicleType,model,year,speed,rpm,engineTemperature,batteryVoltage,fuelLevel,faultCode,oilPressure,coolantLevel,transmissionTemperature,throttlePosition,mafReading,oxygenSensorVoltage,mileage,engineCondition,batteryCondition,fuelCondition,overallSummary,healthScore
2026-05-05 14:27:23,VIN12345,Car,BMW M3,2026,250.0,2600,60.0,11.4,50.0,,1.0,80.0,90.0,80.0,1.0,1.00,100,Good Condition,Critical Condition,Normal,CRITICAL: Vehicle requires immediate attention. Multiple systems need service.,0
2026-05-05 14:37:31,VIN000,Car,alfa romeo giulia,2026,240.0,6800,70.0,12.0,100.0,,1.0,100.0,90.0,100.0,1.0,1.00,1000,Moderate Condition,Acceptable Condition,Normal,CRITICAL: Vehicle requires immediate attention. Multiple systems need service.,0
2026-05-06 18:19:15,VIN2029,Car,Tesla,2026,0.0,0,100.0,12.0,0.0,,0.0,0.0,100.0,0.0,0.0,0.00,100000,Good Condition,Acceptable Condition,Low Fuel,CRITICAL: Vehicle requires immediate attention. Multiple systems need service.,0
2026-05-07 09:45:00,VIN54321,Car,Audi A4,2026,120.0,3000,85.0,11.8,30.0,P0420,1.5,70.0,95.0,75.0,1.5,1.20,50000,Fair Condition,Poor Condition,Low Fuel,WARN: Vehicle has some issues that need attention.,502026-05-07 22:47:45,VIN2020,Car,Toyota corolla,2020,0.0,1500,60.0,12.0,100.0,,3.0,100.0,50.0,20.0,5.0,1.00,10000,Good Condition,Acceptable Condition,Normal,CRITICAL: Vehicle requires immediate attention. Multiple systems need service.,50
2026-05-07 22:49:35,VIN2020,Car,Toyota corolla,2020,0.0,1500,60.0,12.0,100.0,,3.0,100.0,50.0,20.0,5.0,1.00,10000,Good Condition,Acceptable Condition,Normal,CRITICAL: Vehicle requires immediate attention. Multiple systems need service.,50
2026-05-07 22:50:21,VIN2020,Car,Toyota corolla,2020,0.0,1500,60.0,12.0,100.0,P0606,3.0,100.0,50.0,20.0,5.0,1.00,10000,Good Condition,Acceptable Condition,Normal,CRITICAL: Vehicle requires immediate attention. Multiple systems need service.,25
2026-05-14 22:33:11,VIN2003,Car,alfa romeo giulia,2026,250.0,6300,100.0,14.0,100.0,,3.0,100.0,60.0,50.0,1.0,1.00,10,Moderate Condition,Good Condition,Normal,CRITICAL: Vehicle requires immediate attention. Multiple systems need service.,50
2026-05-14 22:42:40,VIN2311,Car,ford mustang,2026,250.0,6300,100.0,14.0,100.0,,3.0,100.0,60.0,50.0,100.0,1.00,10,Moderate Condition,Good Condition,Normal,CRITICAL: Vehicle requires immediate attention. Multiple systems need service.,50
2026-05-14 22:42:49,VIN2311,Car,ford mustang,2026,250.0,6300,100.0,14.0,100.0,,3.0,100.0,60.0,50.0,100.0,1.00,10,Moderate Condition,Good Condition,Normal,CRITICAL: Vehicle requires immediate attention. Multiple systems need service.,50
2026-05-14 22:43:44,VIN2311,Car,ford mustang,2026,250.0,6300,100.0,14.0,100.0,,3.0,100.0,60.0,50.0,100.0,0.00,10,Moderate Condition,Good Condition,Normal,CRITICAL: Vehicle requires immediate attention. Multiple systems need service.,50
2026-05-14 22:47:27,VIN1013,Car,GAC empow,2026,120.0,3200,70.0,13.5,100.0,,4.5,90.0,75.0,35.0,35.0,0.45,10000,Good Condition,Good Condition,Normal,GOOD: Vehicle is operating normally. No immediate service required.,100
